Date,Time,CO mg/m3,8 hr roling avg
16/01/2011,21,0,0
16/01/2011,22,0,0
16/01/2011,23,0,0
17/01/2011,0,0,0
17/01/2011,1,0,0
17/01/2011,2,0,0
17/01/2011,3,0,0
17/01/2011,4,0,0
17/01/2011,5,0,0
17/01/2011,6,0,0
17/01/2011,7,0.1,0
17/01/2011,8,0.2,0
17/01/2011,9,0.2,0.1
17/01/2011,10,0.2,0.1
17/01/2011,11,0.3,0.1
17/01/2011,12,0.1,0.1
17/01/2011,13,0.1,0.1
17/01/2011,14,0.1,0.1
17/01/2011,15,0.1,0.2
17/01/2011,16,0.1,0.1
17/01/2011,17,0.2,0.1
17/01/2011,18,0.3,0.1
17/01/2011,19,0.3,0.1
17/01/2011,20,0.2,0.2
17/01/2011,21,0.2,0.2
17/01/2011,22,0.2,0.2
17/01/2011,23,0.2,0.2
18/01/2011,0,0.1,0.2
18/01/2011,1,0.1,0.2
18/01/2011,2,0.1,0.2
18/01/2011,3,0,0.1
18/01/2011,4,0,0.1
18/01/2011,5,0,0.1
18/01/2011,6,0,0.1
18/01/2011,7,0,0.1
18/01/2011,8,0.1,0
18/01/2011,9,0.1,0
18/01/2011,10,0.1,0.1
18/01/2011,11,0.1,0.1
18/01/2011,12,0.1,0.1
18/01/2011,13,0.1,0.1
18/01/2011,14,0,0.1
18/01/2011,15,0.1,0.1
18/01/2011,16,0.1,0.1
18/01/2011,17,0.2,0.1
18/01/2011,18,0.3,0.1
18/01/2011,19,0.3,0.1
18/01/2011,20,0.3,0.2
18/01/2011,21,0.3,0.2
18/01/2011,22,0.2,0.2
18/01/2011,23,0.3,0.2
19/01/2011,0,0.3,0.3
19/01/2011,1,0.2,0.3
19/01/2011,2,0.1,0.2
19/01/2011,3,0.1,0.2
19/01/2011,4,0.1,0.2
19/01/2011,5,0.1,0.2
19/01/2011,6,0.1,0.2
19/01/2011,7,0.1,0.1
19/01/2011,8,0.2,0.1
19/01/2011,9,0.5,0.2
19/01/2011,10,0.4,0.2
19/01/2011,11,0.4,0.2
19/01/2011,12,0.6,0.3
19/01/2011,13,0.4,0.3
19/01/2011,14,0.2,0.4
19/01/2011,15,0.1,0.4
19/01/2011,16,0.2,0.4
19/01/2011,17,0.4,0.3
19/01/2011,18,0.4,0.3
19/01/2011,19,0.7,0.4
19/01/2011,20,0.7,0.4
19/01/2011,21,0.7,0.4
19/01/2011,22,0.8,0.5
19/01/2011,23,0.9,0.6
20/01/2011,0,0.9,0.7
20/01/2011,1,0.9,0.7
20/01/2011,2,1.1,0.8
20/01/2011,3,1,0.9
20/01/2011,4,1,0.9
20/01/2011,5,0.8,0.9
20/01/2011,6,0.7,0.9
20/01/2011,7,0.6,0.9
20/01/2011,8,0.7,0.9
20/01/2011,9,0.8,0.8
20/01/2011,10,0.8,0.8
20/01/2011,11,0.7,0.8
20/01/2011,12,0.5,0.7
20/01/2011,13,0.5,0.7
20/01/2011,14,0.5,0.6
20/01/2011,15,0.4,0.6
20/01/2011,16,0.2,0.6
20/01/2011,17,0.2,0.5
20/01/2011,18,0.3,0.4
20/01/2011,19,0.5,0.4
20/01/2011,20,0.8,0.4
20/01/2011,21,0.9,0.5
20/01/2011,22,0.8,0.5
20/01/2011,23,0.8,0.6
21/01/2011,0,0.7,0.6
21/01/2011,1,0.5,0.7
21/01/2011,2,0.4,0.7
21/01/2011,3,0.4,0.7
21/01/2011,4,0.4,0.6
21/01/2011,5,0.3,0.5
21/01/2011,6,0.2,0.5
21/01/2011,7,0.2,0.4
21/01/2011,8,0.3,0.3
21/01/2011,9,0.3,0.3
21/01/2011,10,0.3,0.3
21/01/2011,11,0.3,0.3
21/01/2011,12,0.3,0.3
21/01/2011,13,0.1,0.2
21/01/2011,14,0.1,0.2
21/01/2011,15,0.1,0.2
21/01/2011,16,0.1,0.2
21/01/2011,17,0.2,0.2
21/01/2011,18,0.3,0.2
21/01/2011,19,0.6,0.2
21/01/2011,20,0.7,0.3
21/01/2011,21,0.8,0.4
21/01/2011,22,0.5,0.4
21/01/2011,23,0.4,0.5
22/01/2011,0,0.3,0.5
22/01/2011,1,0.2,0.5
22/01/2011,2,0.2,0.5
22/01/2011,3,0.2,0.4
22/01/2011,4,0.2,0.3
22/01/2011,5,0.2,0.3
22/01/2011,6,0.2,0.2
22/01/2011,7,0.2,0.2
22/01/2011,8,0.2,0.2
22/01/2011,9,0.2,0.2
22/01/2011,10,0.4,0.2
22/01/2011,11,0.4,0.2
22/01/2011,12,0.4,0.3
22/01/2011,13,0.3,0.3
22/01/2011,14,0.1,0.3
22/01/2011,15,0,0.2
22/01/2011,16,0,0.2
22/01/2011,17,0.1,0.2
22/01/2011,18,0.1,0.2
22/01/2011,19,0.2,0.1
22/01/2011,20,0.2,0.1
22/01/2011,21,0.2,0.1
22/01/2011,22,0.1,0.1
22/01/2011,23,0.1,0.1
23/01/2011,0,0.1,0.1
23/01/2011,1,0.2,0.1
23/01/2011,2,0.1,0.1
23/01/2011,3,0.1,0.1
23/01/2011,4,0.1,0.1
23/01/2011,5,0.1,0.1
23/01/2011,6,0.1,0.1
23/01/2011,7,0,0.1
23/01/2011,8,0,0.1
23/01/2011,9,0,0.1
23/01/2011,10,0,0.1
23/01/2011,11,0.1,0.1
23/01/2011,12,0.1,0.1
23/01/2011,13,0.1,0.1
23/01/2011,14,0.1,0.1
23/01/2011,15,0.1,0.1
23/01/2011,16,0.1,0.1
23/01/2011,17,0.1,0.1
23/01/2011,18,0.1,0.1
23/01/2011,19,0.2,0.1
23/01/2011,20,0.2,0.1
23/01/2011,21,0.2,0.1
23/01/2011,22,0.2,0.1
23/01/2011,23,0.2,0.2
24/01/2011,0,0.1,0.2
24/01/2011,1,0.1,0.1
24/01/2011,2,0.1,0.1
24/01/2011,3,0.1,0.1
24/01/2011,4,0.1,0.1
24/01/2011,5,0.1,0.1
24/01/2011,6,0.1,0.1
24/01/2011,7,0.1,0.1
24/01/2011,8,0.1,0.1
24/01/2011,9,0.1,0.1
24/01/2011,10,0.1,0.1
24/01/2011,11,0.1,0.1
24/01/2011,12,0.1,0.1
24/01/2011,13,0,0.1
24/01/2011,14,0,0.1
24/01/2011,15,0,0.1
24/01/2011,16,0,0.1
24/01/2011,17,0.1,0.1
24/01/2011,18,0.1,0.1
24/01/2011,19,0.1,0.1
24/01/2011,20,0,0.1
24/01/2011,21,0,0.1
24/01/2011,22,0,0.1
24/01/2011,23,0,0
25/01/2011,0,0,0
25/01/2011,1,0,0
25/01/2011,2,0,0
25/01/2011,3,0,0
25/01/2011,4,0,0
25/01/2011,5,0,0
25/01/2011,6,0,0
25/01/2011,7,0,0
25/01/2011,8,0.1,0
25/01/2011,9,0.1,0
